,id,name,description,neighborhood_overview,host_id,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_has_profile_pic,host_identity_verified,property_type,room_type,accommodates,bedrooms,beds,price,minimum_nights,maximum_nights,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable
10,363601,stylish flat in barcelona center,"<b>The space</b><br />Recently refurbished this 1 bedroom apartment is an ideal base for your stay in barcelona. Located 1 min walk from la Rambla you are in a walking distance to all the atractions barcelona offers: pl. real, pl cataluna, small alleys of the gotico quarter, museums, restaurants, tapas bars, shops, sea front, etc. For further places there is a matro station 100 m away or buses that run along la Rambla. The apartment is very comfortable and homely. It consists of 1 bedroom with doublebed and big wardrobe, a livingroom with double sofa-bed, and dining table fully equiped kitchen including big fridge-freezer,oven,hob,microwave coffee machine, kettle, toaster,cooking utensils , spacious bathroom. Amenities include: wifi internet connection, spanish/english tv,  stereo sound system, aircon (hot/cold),washing machine. Bed linen and towels are provided.",,1837053,,,,f,t,t,Entire rental unit,Entire home/apt,2,1.0,1.0,$60.00,32,350,26,4.2,4.26,4.39,4.52,4.67,4.54,4.13,f
11,142121,You clean Barcelona Refuge 2 of 2,"At the moment an other add for this apartment is valid https://www.airbnb.at/rooms/41161174<br /><br />A very basic apartment with a view for 1 to 3 nonsmokers in the heart of Barcelona on the roof. We only accept bookings from people who tell us something about themselves, and who confirm that they have understood what we are offering. We have to rent this apartment for at least 31 nights. Dayly prices will only apply if you have to leave earlier.<br /><br /><b>The space</b><br />This is not a tourist apartment. First you have to clean it and if you are lucky you will find some clean sheets. I rent it to writers, painters, adult students, or retired persons for periods between 1 and maybe 3 months. In between I might let it to friends and volunteers who will be fixing something, e.g. paint a wall, repair the toilet flush, etc. <br /><br />Since there is construction happening in the house, we recently had a water damage. The traces of it are still there. <br /><br />The electricity ha","When we are in Barcelona we go first to the market La Boqueria a bit further up on the other side of the Rambla. We like to prepare meals at home and have them on the terrace, but a lunch time (2-4pm) we often have a menu in one of the many restaurants in the area. One night of our stay we like to walk a bit futher to the Antique Teatre (near Palau de Musica). There we see shows at a very reasonable price that are mostly a bit weird, but we never forget them very quickley.",620454,within a day,50%,88%,f,t,t,Entire loft,Entire home/apt,3,2.0,2.0,$44.00,31,99,27,4.35,4.63,4.04,4.63,4.81,4.96,4.44,f
12,34981,VIDRE HOME PLAZA REAL on LAS RAMBLAS,"Spacious apartment for large families or groups of friends, modernly equipped. Four double bedrooms, one extra bed for groups up to Nine guests;  Three bathrooms with shower, WC and sink. Fully equipped kitchen with dishwasher.Comfort mattresses, acoustic isolation, powerful Air-Conditioning with separate units in each room,WiFi. Second floor with Elevator.<br />TOURIST LICENCE HUTB 00150671<br />Tourist tax not included: 2,78 eur per person per night<br /><br /><b>The space</b><br />Large apartment in the center of Barcelona, next to Placa Real, on the Ramblas, into the heart of the Gothic Quarter; it has Four double bedrooms, Three bathrooms with shower, a living room with american kitchen; 115 m² big and up to 9 guests.<br />Air conditioning with a separate unit with remote control in each room, Heating system, Bed sheets, blankets and towels provided for each guest.<br />Internet Wi-Fi in the whole apartment.<br />Fully equipped kitchen with dishwasher, oven, stove, microwave, coff","Located in Ciutat Vella in the Gothic Quarter, next to Plaza Real and the Ramblas.<br />Las Ramblas, one of the most famous streets of the city, is a 1 minute walk.<br />The Boqueria Market and the Santa Caterina Market are 7 minutes walking.<br />Plaça Catalunya and the Cathedral are 10 minutes walking.<br />The Barceloneta Beach is 15 minutes walking, you can also get the bus number 59 to get there, the stop is very near.<br />It's very central and close to the apartment. There are all kinds of restaurants, bars, cafes, shops and more! <br />It has good connections to public transport. Metro stations Jaume I (L4) 5 minutes and Liceu (L3) 2 minutes walking are the closest.<br />The apartment is perfect to enjoy your city or beach holidays in couples, with family or group of friends.",73163,within an hour,93%,94%,f,t,t,Entire rental unit,Entire home/apt,9,4.0,6.0,$174.00,5,365,190,4.51,4.61,4.6,4.67,4.68,4.69,4.41,f
13,144471,★BEST ZONE★PL.CATALUÑA ★ROOM X 2★BATHROOM +WIFI,"<b>The space</b><br />HELLO PEOPLE :=) <br />are you on vacation? or business? Perhaps a student? or just passing through ..! is just what you need ..! =) I' renting a room per days, weeks or monthly Rent a quiet and comfortable rooms in a beautifully renovated apartment.<br />ROOMS DESCRIPTIONS: ROOM #1 It is a double room with a double bed and closet ideal for relaxing after a long day!<br /><br />In summer could has different price, depend of the season or week events in BCN.<br /><br />The most important thing!!! the flat is my home, I'm opening the doors of my home for you, please take care of it as yours, keep everything clean and respect the place.  <br />Only one rule we have, DRUNK PEOPLE ARE NOT ALLOWED IN MY HOME, PLEASE!! THANKS!! if you are the person who like drink and drink without any control until get sick, this is not your place!! sorry!! ;D<br /><br />EXTRA SERVICES: <br />Kitchen not available for cooking  but  can used the refrigerator use .<br /><br />FREE SERVICE",,700165,within an hour,100%,42%,f,t,t,Private room in rental unit,Private room,2,1.0,1.0,$40.00,3,365,38,4.28,4.03,4.56,4.26,4.46,4.64,4.06,f
14,36763,In front of the beach,"<b>The space</b><br />Habitación con una cama individual, escritorio, aire frio, wifi, toallas y ropa de cama. El piso es pequeño pero está situado en frente de la playa en el barrio de la Barceloneta. Muy bien comunicado con transporte público. Disponible solo para una persona.<br />Vive un perro en la casa, un labrador muy amigable.<br /><br />Room with a single bed, work table, cold air, wifi, towels and bed clothes.<br />The appartment is small but is just in front of the beach in the neighbordhoord called Barceloneta. Very well comunicated with public transport. Available only for one person.<br />A dog is living in the house, a very friendly labrador.<br /><br /><b>Guest access</b><br />You can use the kitchen but not the washing machine. Just ask me in case you need it.<br />Keep the commun areas clean.<br />Be careful with the house and the neighbordhood.<br />If you loose the keys 25euros will be required.","The neighbordhood is just at the beach, very close to old gotic town. Many public transports near by. All the area is full of restaurants and amenities.",158596,within a few hours,100%,60%,f,t,t,Private room in rental unit,Private room,1,1.0,1.0,$36.00,31,65,104,4.79,4.86,4.71,4.93,4.91,4.93,4.81,f
15,147275,1 Room INDIVIDUAL in Barcelona,"In quiet neighborhood, with a lot of services (Stores, Biblio, etc) and very well connected to the city center, 2 Metro lines and 9 Bus lines (3 nocturn).<br /><br />ATTENTION: From July 1, 2022 until September 1, the Metro Line 5 suffers a cut affecting the route from Sants Estació. A special bus will take you to the rest of the stations of the Line. The journey is free with the Metro ticket, the bus schedule is the same. Sorry for any inconvenience caused by this circumstance.<br /><br /><b>The space</b><br />1 room with wardrobe, swivel chair, light table, shelves. Quiet area and well connected next to 9 bus lines and 2 metro, 10 minutes from the city center, all services. Housing located two plants high with elevator. Bathroom with bathtub and bidet, washing machine, heating and water with natural gas. Neighborhood with all services: bars, restaurants, supermarkets, cashiers, shops, etc. Not too far from Gaudí's Sagrada Familia, nor from the Guinardó Park (Bunkers Turó de la Rovira","Quiet and beautiful, north-west mountain park, old houses with gardens.",711907,within a day,100%,97%,f,t,f,Private room in rental unit,Private room,1,1.0,1.0,$18.00,31,1125,126,4.24,4.51,4.17,4.73,4.53,4.57,4.36,f
16,40983,Classical loft close to pedrera!,"Our cool and comfortable one bedroom apartment with exposed open concept has a true city feeling! It comfortably fits 4 and is centrally located, just 5 blocks from Pedrera. Enjoy an easy access to all major subway and bus lines!<br /><br /><b>The space</b><br />A Barcelona typical small apartment with typical restored ceiling and surprised us when we were inside, as it was so quiet from street noises! <br />It has a double bedroom, a lounge and dining area both delightfully furnished and comfortable for your relaxation, leading to a fully fitted and equipped kitchen for all cooking requirements. The bathroom has a unique double sink made from a single piece of stone. There is air-conditioning and heating throughout the apartment and Free WiFi internet access. The apartment is also ideal for a business trip stay. <br />This Barcelona Apartments is located in the centre of the city, 10 mins from the main through shopping street, Paseo de Gracia, where you will find 2 of Gaudi's architec","Is a perfect neighborhood, close to Paseo de Gracia, with all the principals brands, La pedrera, Sagrada familia, etc... all that you have to visit, you will do walking in a modernism area! It is a very exiting walking areas close to the apartment.",177617,within an hour,100%,100%,f,t,t,Entire loft,Entire home/apt,4,1.0,1.0,$60.00,2,364,254,4.37,4.46,4.39,4.77,4.77,4.88,4.36,f
17,41952,Modern Apartment - Sagrada Familia,"Bright new apartment located in the middle of Sagrada Familia, one of the ""must see"" monuments of Gaudi. A full private apartment for just yourself!<br /><br /><b>The space</b><br />Bright new apartment located in the middle of Sagrada Familia, one of the ""must see"" monuments of Gaudi. A full private apartment for just yourself!<br /><br />It's a modern, luxury style apartment very comfortable to assure a great stay when you are in Barcelona.<br /><br />The apartment has two bedrooms (1 suite) and two full bathrooms both with pressurized water streams. It also has a large living room (with one double bed sofa) and a full equipped kitchen.<br /><br />Amenities: Internet Wi-Fi, flat screen TV, DVD, air conditioned, heater, microwave, fridge, freezer, hair dryer, toaster & cooking utensils. <br /><br />Thanks to its perfect location, there is metro & bus to go to any other part of the city or even walking.<br /><br />Minimum: 3 nights. Discounts for longer stays.<br />Local city tax to be",,183340,within a day,100%,75%,f,t,t,Entire rental unit,Entire home/apt,4,2.0,4.0,$121.00,3,365,61,4.38,4.5,4.32,4.53,4.53,4.71,4.39,t
18,154437,Charming room  Diagonal wifi 100 Mb,"The room is perfect.<br />Clean & comfortable & Charming & Quiet ...<br />Has Tivo cable tv inside .<br />Books,  a very strong Fan in summer.<br />Bathroom is just beside <br />At night a dividing door closes and half the apartment is for you total privacy<br />fridge included<br /><br /><b>The space</b><br />Charming and warm room in the Eixample Esquerra next to Av.Diagonal.Close to ESADE<br />Absolutely quiet, no traffic noise.<br />With a very comfortable double bed for 2 people.<br />The bathroom with ecological shower and hairdryer is just next to your room.<br />The host provides towels, shampoo, and soap & bath gel.<br />The apartment has WIFI 100 MB. Cable TV. Air conditioning and central heating.<br />The hostess  prepare a breakfast consisting of:<br />Coffee, tea or infusions.<br />Bread. Crunchy toast. Muffins or croissants.<br />Butter, Jam. (Not included in price)<br />Very convenient!<br />There is laundry service for a very reasonable price!<br />The host lives in ano","Located in the center of Eixample Esquerra, you can walk to all attractions.<br /> Museums, Art Nouveau Houses, Gardens, Churches, Sagrada Familia, La Pedrera, Las Ramblas. There is also a bus stop right in the portal, including Night Bus. Metro Station H. Clinic (blue line) 2 stops to Sants Station (Airport train)<br />The beaches are just few minutes by Bus; you have a line at 100m.",474355,within an hour,100%,100%,t,t,t,Private room in rental unit,Private room,1,1.0,1.0,$32.00,31,75,94,4.86,4.82,4.79,4.93,4.9,4.87,4.7,t
19,46153,CHIC SANT PERE★NO SHARING ★GREAT LOCATION ★,"Free to rent from 202/08/2022<br />FREE WIFI <br />YOU RENT THE ENTIRE APARTMENT, NO SHARING !!<br />Great location!<br />Come and stay in the fascinating, multicultural, chic, bohemian district of Sant Pere, Santa Caterina y la Ribera, THE place to stay in the gothic area of Barcelona,  full of restaurants,  quaint cafes, bars, boutiques, plazas., Sant Caterina market …. <br />Ideal for a couple, students.<br />NOTE: Utility bills, water/ electricity /wifi are not included in the monthly rental price<br /><br /><b>The space</b><br />Please check out the photos and this description as they show you exactly how the apartment is,  then you can decide if you may like to rent!!!<br /><br />Second-floor apartment, NO lift, you climb some stairs, good for you and healthy!<br />Cozy Compact apartment,  small kitchen area in the lounge/dining area, with fridge/freezer, hob, and oven,  access to a quaint balcony where you can go and have a smoke if you need to. Strictly forbidden inside, thanks","Centrally located in Barcelona’s charming old quarter of Sant Pere, Santa Caterina y la Ribera, THE place to stay in the gothic area of Barcelona,  right by the trendy Plaza San Pere,  on the street of Sant Pere Mitja number sixty-nine<br />In a few minutes, you can walk to the famous Las Ramblas, Plaza Catalunya, it's very centrally located & absolutely everything is within easy walking distance.<br />Nearby metro stations: Arc de Triomf- Urquinaona /Jaume I.<br />15 minute walk To the Pompeu University, 10 minute walk to Plaza Cataluña,",90417,within an hour,100%,100%,t,t,t,Entire rental unit,Entire home/apt,2,2.0,3.0,$38.00,63,341,5,4.2,4.2,3.6,4.2,4.4,4.4,3.8,f
20,162091,✨Cosy Apt near Sagrada Familia / Shared terrace✨,"Have an authentic Barcelona experience! Modern 100m2 recently decorated apartment - definitely one to consider if you want to soak up the spanish sunshine during your stay. An incredible location + spacious and comfortable rooms - makes it a great place to kick back and relax after a day full of sightseeing and entertainment. It doesn’t matter if you are a group of friends who wants to meet the city or a family that would love to explore the local culture- it's the place for you!<br /><br /><b>The space</b><br />This apartment is like a jewel in the middle of Eixample area - not every local can boast of having such a neighbourhood! Definitely one to consider if you want to soak up the spanish sunshine during your stay. Located on the 18st floor of a typical building in the area, with elevator. Meets: comfort & tranquility of area, mixed with  cosmopolitan and central part of the city. Lots of light, spacious and with a special dedication to decoration. Totally equipped to make your sta","Apartment is located just 240 meters from Sagrada Familia. Right on Avenida Gaudí, a cozy boulevard that leads from Sagrada Familia to Hospital de Sant Pau (which is another architectural wonder, a UNESCO World Heritage Site).<br />Eixample is one of the safest areas of Barcelona and at the same time has many restaurants, bars and nightclubs to enjoy, a large number of them are located on our street, where you can eat in one of the many restaurants or just sit on the avenue and enjoy local tapas. There are different environments found in this neighborhood of Barcelona, ​​from the most traditional and Catalan to a young and art-filled environment.",567180,within an hour,100%,93%,f,t,t,Entire rental unit,Entire home/apt,8,3.0,6.0,$149.00,2,30,57,4.51,4.51,4.58,4.82,4.75,4.95,4.6,t
21,49968,Sagrada Familia area - Còrsega 2,"A very nice two bedroom apartment only 250 m from Barcelona's iconic Sagrada Familia.<br /><br /><b>The space</b><br />Originally a typical Barcelona style three bedroom family apartment but when it was refurbished a wall was removed to combine the lounge and main bedroom into one large lounge dining area.<br /><br />NOTE: If you want to see all my properties and boats please have a look at: https://www.airbnb.com/s?host_id=135703 or click on my profile and choose the link at the bottom left of the screen.<br /><br />CAUTION: The whole apartment is covered by the Roomonitor noise alerting system, which will send an alert to an alarm center if high levels of noise are detected, between 10:00 pm and 8:00 am, which would disturb the neighbours. Each call from the alarm center to the guest about high noise levels will incur a €8.47 fee. If the alarm center have to send a staff member because of high noise there will be a €83.49 fee.<br /><br />CAUTION: This is a NON-SMOKING space, conseque",What's nearby  <br />This apartment is located in central Barcelona only 250m from the famous Sagrada Familia. <br />There are four supermarkets and all normal shops within a 100m radius as well as several secure public car parks. There are also plenty of bars and restaurants very close by.,135703,within an hour,100%,100%,f,t,t,Entire rental unit,Entire home/apt,6,2.0,7.0,$73.00,2,31,67,4.58,4.81,4.39,4.9,4.94,4.85,4.52,t
22,364030,Beatiful Terrace in Bcn center  HUTB-OO1094,"Wonderful terrace in one of the most modern and young neighborhoods of the City.<br /><br />Magnificent penthouse in Barcelona's Eixample, 10 minutes' walk from the emblematic Ramblas, 15 minutes from Plaza Cataluña and the same distance from Plaza España (Fira de Barcelona).<br /><br />Tourist Tax is €4 person/night.<br /><br /><b>The space</b><br />Magnificent penthouse in Barcelona's Eixample, 10 minutes' walk from the emblematic Ramblas, 15 minutes from Plaza Cataluña and the same distance from Plaza España (Fira de Barcelona). Or 3 minutes by metro from Paseo de Gracia or 8 minutes from the Sagrada Familia. The terrace is to be enjoyed, with a sofa area and a dining table. The warm climate of Barcelona makes it very pleasant to eat on the terrace almost all year round. But if it cools down, there is the living room, with the open kitchen so that those who prepare the food can participate in the conversation. The apartment is in a building from 1900, it has 2 double rooms, both wit",,1839136,within an hour,100%,100%,f,t,t,Entire rental unit,Entire home/apt,4,2.0,2.0,$103.00,2,15,336,4.68,4.71,4.64,4.74,4.77,4.79,4.58,f
